HOLDTIME 2.00
RESPWIN 1.20
REWTIME 0.10
TOTIME 7.00
63532 TRIAL1
67228 TT32
2078768 TON
2196792 STIMON
3215516 STIMOFF
4415516 RESPOFF
4415972 CORRECTREJECT
4416492 TOFF
4416920 TRIAL2
4421072 TT10
6434868 TON
6512536 STIMON
7531228 STIMOFF
8731228 RESPOFF
8731692 CORRECTREJECT
8732212 TOFF
8732632 TRIAL3
8736796 TT10
