HOLDTIME 2.00
RESPWIN 1.20
REWTIME 0.10
TOTIME 7.00
142204 TRIAL1
292968 TT49
2292764 TON
2401092 STIMON
3419784 STIMOFF
4619784 RESPOFF
4620240 MISS
4620684 TOFF
4621100 TRIAL2
5156052 TT48
7155764 TON
7243164 STIMON
8261852 STIMOFF
9461852 RESPOFF
9462308 CORRECTREJECT
9462832 TOFF
9463256 TRIAL3
10138180 TT48
12138544 TON
12226056 STIMON
13244772 STIMOFF
13903272 LICK
13923812 TOSTART
13924320 TOEND
14245024 LICK
14444772 RESPOFF
14445276 TOFF
14445744 TRIAL4
14847928 LICK
15015248 TT49
15157868 LICK
15520780 LICK
15774656 LICK
18157592 TON
18246680 STIMON
19265388 STIMOFF
19384564 LICK
19405104 REWARDON
19505120 REWARDOFF
19697680 LICK
19976740 LICK
20224744 LICK
20465388 RESPOFF
20465892 TOFF
20466356 TRIAL5
20480504 LICK
20743788 LICK
20818024 TT48
20994068 LICK
21217252 LICK
21411432 LICK
23607336 TON
23694992 STIMON
24713716 STIMOFF
25913716 RESPOFF
25914220 CORRECTREJECT
25914792 TOFF
25915260 TRIAL6
26134888 TT48
26595276 LICK
26858784 LICK
27061936 LICK
27244516 LICK
27428772 LICK
29489192 TON
29565844 STIMON
30584532 STIMOFF
31784532 RESPOFF
31785044 CORRECTREJECT
31785608 TOFF
31786084 TRIAL7
32411744 TT49
32514080 LICK
32800424 LICK
33025108 LICK
33274136 LICK
33500304 LICK
33703280 LICK
35854360 TON
35940032 STIMON
36958728 STIMOFF
38158728 RESPOFF
38159232 MISS
38159728 TOFF
38160200 TRIAL8
38811140 TT48
40811576 TON
40896960 STIMON
41915652 STIMOFF
