HOLDTIME 2.00
RESPWIN 1.20
REWTIME 0.10
TOTIME 7.00
7434816 TRIAL1
7440596 TT32
9454632 TON
9577492 STIMON
10596208 STIMOFF
10759820 LICK
10780356 TOSTART
10780868 TOEND
10810868 LICK
10870264 LICK
11328392 LICK
11588884 LICK
11796208 RESPOFF
11796728 TOFF
11797192 TRIAL2
11797764 TT10
11813488 LICK
12055696 LICK
12295832 LICK
12517340 LICK
12724152 LICK
12913688 LICK
13017332 LICK
15065140 TON
15150640 STIMON
16169336 STIMOFF
17285036 LICK
17305576 TOSTART
17306088 TOEND
17369336 RESPOFF
17369840 TOFF
17370308 TRIAL3
17370876 TT10
17640556 LICK
17882876 LICK
18108952 LICK
18364380 LICK
18631868 LICK
18729080 LICK
20777008 TON
20871624 STIMON
21890340 STIMOFF
22464660 LICK
22485200 TOSTART
22485708 TOEND
22745044 LICK
22995232 LICK
23090340 RESPOFF
23090844 TOFF
23091312 TRIAL4
23091880 TT10
23222392 LICK
23471764 LICK
23700128 LICK
23929424 LICK
26016816 TON
26106216 STIMON
27124936 STIMOFF
27534320 LICK
27554864 TOSTART
27555372 TOEND
27647464 LICK
27852876 LICK
28096652 LICK
28324936 RESPOFF
28325444 TOFF
28325912 TRIAL5
28326484 TT10
28332256 LICK
28540536 LICK
28784276 LICK
29020068 LICK
29145652 LICK
29309012 LICK
29516176 LICK
29694432 LICK
31828008 TON
31914096 STIMON
32932808 STIMOFF
33956660 LICK
33977200 TOSTART
33977716 TOEND
34132808 RESPOFF
34133312 TOFF
34133776 TRIAL6
34134352 TT10
34306760 LICK
34517740 LICK
34591188 LICK
34757940 LICK
35015564 LICK
35263244 LICK
35530484 LICK
35743184 LICK
36009552 LICK
36227696 LICK
38317088 TON
38391180 STIMON
39409900 STIMOFF
40609900 RESPOFF
40610408 CORRECTREJECT
40610980 TOFF
40611452 TRIAL7
40619652 TT10
42634276 TON
42716864 STIMON
43735584 STIMOFF
44935584 RESPOFF
44936092 CORRECTREJECT
44936660 TOFF
44937132 TRIAL8
44945336 TT10
46960688 TON
47040604 STIMON
48059312 STIMOFF
49259312 RESPOFF
49259824 CORRECTREJECT
49260388 TOFF
49260864 TRIAL9
49269072 TT10
51285020 TON
51362312 STIMON
52381000 STIMOFF
53581000 RESPOFF
53581504 CORRECTREJECT
53582076 TOFF
53582548 TRIAL10
53591792 TT10
55606312 TON
55690068 STIMON
56708756 STIMOFF
57908756 RESPOFF
57909268 CORRECTREJECT
57909836 TOFF
57910312 TRIAL11
57919544 TT10
59934760 TON
60019704 STIMON
