HOLDTIME 2.00
RESPWIN 1.20
REWTIME 0.10
TOTIME 7.00
8519092 TRIAL1
8524860 TT32
8539216 TON
9026240 STIMON
10044936 STIMOFF
10044936 RESPOFF
10045960 CORRECTREJECT
10046536 TOFF
10055700 TRIAL2
10073408 TT10
10089012 TON
10575332 STIMON
11594048 STIMOFF
11594048 RESPOFF
11595068 CORRECTREJECT
11595640 TOFF
11604804 TRIAL3
11622512 TT10
11638120 TON
12241300 STIMON
13260016 STIMOFF
13260016 RESPOFF
13261036 CORRECTREJECT
13261608 TOFF
13270780 TRIAL4
13288496 TT10
13304096 TON
13889312 STIMON
14907996 STIMOFF
14907996 RESPOFF
14909020 CORRECTREJECT
14909600 TOFF
14918752 TRIAL5
14936460 TT10
14952064 TON
