HOLDTIME 2.00
RESPWIN 1.20
REWTIME 0.10
TOTIME 7.00
1305172 TRIAL1
1310932 TT32
1325296 TON
1554900 STIMON
2573588 STIMOFF
2573588 RESPOFF
2574516 CORRECTREJECT
2575044 TOFF
2580152 TRIAL2
2596820 TT10
2611388 TON
3052092 STIMON
4070808 STIMOFF
4070808 RESPOFF
4071736 CORRECTREJECT
4072264 TOFF
4077376 TRIAL3
4094044 TT10
4108608 TON
4625124 STIMON
